#
1
1065
11;1;114492;00006192;117960;;138.00;1.000;138.00;0;416;138.00;138.00;000000000002;;46198532;138.00;;;0000000001;;;1/416/114492;;;;;;4;00000046198532Z==Sdi_ACMoCS+A;;;;;;;;;;;
14;1;114492;00006192;117960;;000000000002;000000000002;0.00;0;416;138.00;138.00;000000000002;;46198532;138.00;;;0000000001;;;1/416/114492;;;;;;;;;;;;;;;;;;
16;1;114492;00006192;117960;;;1.000;0.00;0;416;138.00;138.00;000000000002;;46198532;;;;0000000001;;;1/416/114492;;;;;;;00000046198532Z==Sdi_ACMoCS+A;;;;;;;;;;;
41;1;114492;00006192;;0000000002;1;276.00;276.00;0;416;;;0;;;0;;;0000000001;;;1/416/114492;;;;;;;;;;;;;;;;;;
43;1;114492;00006192;;0000000002;1;276.00;276.00;0;416;;;000000000002;;;;;;0000000001;;;2/6834/427;;;;;;;;;;;;;;;;;;
49;1;114492;00006192;;;;;276.00;0;416;;;000000000002;;;;;;0000000001;;;2/6834/427;;;;;;;;;;;;;;;;;;
45;1;114492;00006192;;;;;276.00;0;416;;;000000000002;;;;0004848306027616;9280440300913275;0000000001;6835;4195704331;2/6834/427;;;;;;;;;;;;;;;;;;13.07.2021 18:47:00
55;1;114492;00006192;;;;2.000;276.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114492;;;;;;;;;;;;;;;;;;
42;1;114493;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114493;;;;;;;;;;;;;;;;;;
11;1;114493;00006192;109631;;1355.00;1.000;1355.00;0;416;948.00;948.00;000000000001;;1210000100979;1355.00;;;0000000001;;;1/416/114493;;;;;;1;;204300144969661018001IZXL74AAY6ETDCGPTRN5VSQ46U4PZHAKIIYC4YKCURKQFRMPWSNSD5T7NU2EMERDVQIJKZOS4ELXSXCKS77LZLVZICTLIKNZDQT4MDFYZ3YPNM6PVMWMAKSK3IUDB2IFA;;;;;;;;;;
14;1;114493;00006192;109631;;000000000002;000000000002;0.00;0;416;948.00;948.00;000000000001;;1210000100979;1355.00;;;0000000001;;;1/416/114493;;;;;;;;;;;;;;;;;;
16;1;114493;00006192;109631;;;1.000;0.00;0;416;948.00;948.00;000000000001;;1210000100979;;;;0000000001;;;1/416/114493;;;;;;;;204300144969661018001IZXL74AAY6ETDCGPTRN5VSQ46U4PZHAKIIYC4YKCURKQFRMPWSNSD5T7NU2EMERDVQIJKZOS4ELXSXCKS77LZLVZICTLIKNZDQT4MDFYZ3YPNM6PVMWMAKSK3IUDB2IFA;;;;;;;;;;
15;1;114493;00006192;;;2;407.00;407.00;0;416;7;5;000000000001;;;;;;0000000001;;;1/416/114493;;;;;;;;;;;;;;;;;;
41;1;114493;00006192;;0000000002;1;948.00;948.00;0;416;;;0;;;0;;;0000000001;;;1/416/114493;;;;;;;;;;;;;;;;;;
43;1;114493;00006192;;0000000002;1;948.00;948.00;0;416;;;000000000001;;;;;;0000000001;;;21/19455/203;;;;;;;;;;;;;;;;;;
120;1;114493;00006192;;;0.00;;0.00;0;416;;;000000000001;;;;;;0000000001;;;1/416/114493;;;;;;;;;;;;;;;;;;
49;1;114493;00006192;;;;;948.00;0;416;;;000000000001;;;;;;0000000001;;;21/19455/203;;;;;;;;;;;;;;;;;;
45;1;114493;00006192;;;;;948.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14526;3353081456;21/19455/203;;;;;;;;;;;;;;;;;;13.07.2021 18:51:00
55;1;114493;00006192;;;;1.000;948.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114493;;;;;;;;;;;;;;;;;;
42;1;114494;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114494;;;;;;;;;;;;;;;;;;
11;1;114494;00006192;102508;;10.00;1.000;10.00;0;416;10.00;10.00;000000000001;;2200000002297;10.00;;;0000000001;;;1/416/114494;;;;;;0;;;;;;;;;;;;
14;1;114494;00006192;102508;;000000000002;000000000002;0.00;0;416;10.00;10.00;000000000001;;2200000002297;10.00;;;0000000001;;;1/416/114494;;;;;;;;;;;;;;;;;;
16;1;114494;00006192;102508;;;1.000;0.00;0;416;10.00;10.00;000000000001;;2200000002297;;;;0000000001;;;1/416/114494;;;;;;;;;;;;;;;;;;
11;1;114494;00006192;104330;;49.00;1.000;49.00;0;416;49.00;49.00;000000000001;;4607012351951;49.00;;;0000000001;;;1/416/114494;;;;;;0;;;;;;;;;;;;
